Name,Channel,Subscribers,Category
BERMUDU DIVSTURIS,https://youtube.com/channel/UC3SPthDmrKuKTOvzOiAwQxg/videos,100K,Music
Singapūras Satīns,https://youtube.com/channel/UCkqpAqKK-5wm-7e6wugq7Og/videos,34.1K,Music
GACHO,https://youtube.com/channel/UCRwPYub5-FD_nDqcyhfHH7A/videos,53.4K,Music
MUSIQQ,https://youtube.com/channel/UCp8yJVG9ROKv5IZZslQtuZQ/videos,64.4K,Music
Kreisais Krasts Rīga,https://youtube.com/channel/UC6Lqf-NmeTV3NoRZfI9_1IA/videos,14.8K,Entertainment
ltvpanorama,https://youtube.com/channel/UCOSAAyJoybqsY5sZ76BaqFA/videos,26.8K,News
Dons Latvia,https://youtube.com/channel/UCE9IiIgrKnNHPaYA3319ovg/videos,26.8K,Music
New Wavy Records,https://youtube.com/channel/UCBffS4Az7-nFi6awheMqOIA/videos,22.9K,Music
FunFaceTV,https://youtube.com/channel/UCFYGOJvwTK0o2zswDqSW9TQ/videos,87.3K,Entertainment
FAKTS,https://youtube.com/channel/UCZN0ss59hO_mEQEJoI9L89Q/videos,21.1K,Music
Lauris Reiniks,https://youtube.com/channel/UCCBPB26H9eZCxM0hkZfK5Qw/videos,69.4K,Entertainment
Uldons TV,https://www.youtube.com/user/ozonators00/videos,58.8K,Entertainment
Evelina Parkere,https://www.youtube.com/channel/UCKHXkDnmcKHXQLAkoQInFXQ/videos,70.5K,People
Mellenbergi.,https://www.youtube.com/channel/UC1KCdEfvRnj_yvqyj4J0dWg/videos,21K,Film
Bea Jonite,https://www.youtube.com/user/xochanelegance/videos,183K,Howto
CilvēksArKameru,https://www.youtube.com/user/Frankolv/videos,15.3K,Sports
Dorothea,https://www.youtube.com/user/DorotheaTV/videos,23.5K,Entertainment
Edžusšovs,https://www.youtube.com/user/MrJebzy/videos,21.8K,Comedy
Emilija Young,https://www.youtube.com/channel/UC90cwDWLr8ZKXSyHFcol1xA/videos,12.9K,People
FIZMIX lv,https://www.youtube.com/user/FizMixportal/videos,1.2K,Education
Laurlācis,https://www.youtube.com/user/UnicornQueeny/videos,47.9K,Comedy
Mr Anderson,https://www.youtube.com/user/KuRm1S/videos,44K,Film
niklavs,https://www.youtube.com/channel/UCJbq_DPMHarQShszyXfB9dA/videos,50.8K,Entertainment
PieciLV,https://www.youtube.com/user/PieciLV/videos,22.1K,Entertainment
Pipars LV,https://www.youtube.com/user/pukerojs/videos,13K,Howto
ReBaltica,https://www.youtube.com/user/rebaltica/videos,985,News
RigaTV 24,https://www.youtube.com/user/tv24zinas/videos,5.4K,News
Sindija,https://www.youtube.com/user/Sindijalo/videos,46.4K,People
Province LTV,https://www.youtube.com/channel/UCSVHvHoIVIZt1rcsrYMmllQ/videos,4.51K,News
PRUSAX,https://youtube.com/channel/UCk-UhfJyQYh1BCyckWoohfQ/videos,14.4K,Music
ARVIS REIKS,https://www.youtube.com/channel/UCjt7aA82AsGOOcVbTjw1eKA/videos,48.4K,Entertainment
Edgar Fresh,https://www.youtube.com/channel/UCB_O9m8lvi1SHa6gFnVyt_A/videos,19.4K,People
Alise Micule,https://www.youtube.com/channel/UCnFz3GXvPNsSMpH7B6IPwiA/videos,14.7K,People

